,ID,Feed,Sentiment,word_count,char_count,avg_char_per_word,stopwords
1417,1418,اين المياه لتبريد المفاعل النووي فهو يحتاج الي نصف مليون مترا مكعبا المياه لتبريده سنويا علي الاقل والقاصي والداني يعرف اننا بلد يعاني شحه المياه اما كعلوم معرفه بالعلوم النوويه الطاقه فانا احب ان يتعلمها المتعلمين بلادنا بدءا جدول مندلييف للعناصر مرورا العناصر المشعه نظريه اينشتاين للطاقه نظريات الفيزياء الكميه البحث عمر البروتون النيوترينو والكواركات واللبتونات وال النظاءر المشعه تفتيت الذره اشعه جاما بيتا الفا الراديوم البلوتونيوم البروتونات كافه النظريات انواع المفاعلات النوويه تجارب الامم اليابان المانيا روسيا فرنسا امريكا للعلم فقط انها علوم نظريا سهله بسيطه يستطيع فهمها حتي الانسان الخلفيه الرغبه العلميه علي او علي الاقل جزء علماءنا ان يقرروا المسار يجب ان نسلكه نسير بهذا الخصوص بموازنه المخاطر المكاسب بعدها علي اساس النتيجه الفاءده الواضحه يتم الاعتماد لقرارهم ان سلبا ام ايجابا,0,125,796,5.0,0
1274,1275,لنفترض جدلا ان اضرار صحيه بيءيه سينتج بناء مفاعلات نوويه سلميه دعونا نفكر الكلفه اولا كلفه بناء عاليه جدا لعدم امتلاكنا لهذه التكنولوجيا علي شكل ديون تثفل كاهل العشر اجيال القادمه ثانيا لنفس السبب سنستورد خبراء للتشغيل لسنوات طويله يزيد كلفه الطاقه العكس ناهيك حصول اي اخطاء مفترضه مستقبلا ثالثا اين المكان البعيد المدن الاردن واين مصدر المياه الكافيه للتبريد رابعامن حق المواطنين اصحاب القرار الحصول علي تقرير منشور للاثر البيءي مسبقا بنفس الوقت نستطيع الحصول علي كميه الطاقه الصخر الزيتي نمتلك احتياطي هاءل الغاز الطبيعي المءمل مستقبلا الطاقه الشمسيه طاقه الرياح بكلف نسبيا اقل بكثير النووي اعباء ديون اضافيه,0,100,610,5.0,0
1269,1270,للي مفكرين المفاعل يطورهم المفاعل يدمر الاردن المنطقه اللي حولها لان الفساد الموجود بالاردن مش موجود بدوله اخري يعني ان الفاسدين رايحين يسمسروا يلهفوا يوصلوا اشكل مفاعل للاردن ناسين ان المفاعل يحتاج الي بحر ماء للتبريد لانملك ماء للشرب ناسين ان التطور يكون بمشاركه الجميع بقرار فردي ناسين ان اقر المفاعل المحتكر الاول هيءه الطاقه ان شاغرها بقي معلق اثناء فتره تسلم طوقان وزاره التربيه والتعليم لدول المتقدمه بدات تبحث بداءل للمفاعلات بنشتري الخربان منهم مشان التقدم بلدنا بفضل الله لديها طاقه الرياح طاقه الشمس لماذا يتم استغلالها بدل المفاعل النووي اكلنا معظمه فاسد صالح بسبب الجشع الطمع الفساد,0,99,595,5.0,0
130,131,الاردن تمتلك اي الخبرات الفنيه انشاء او صيانه او تشغيل المفاعلات النوويه لاردن لديها سوي شهادات دكتوراه المجال نظريه بحته ان انشاء مفاعل نووي يعني مقامره كامله بمءات الملاييين المضحك الموضوع ان بدايه المشروع ستكون انشاء مفاعل تجريبي او تعليمي يتبع لهيءه الطاقه النوويه اليس الاجدر بهكذا مفاعل ان يتبع لاحدي الجامعات علاوه علي ان هيءه الطاقه تم انشاها رضوه لفلان وعلنتان الاولي ساده ان يتم طرح انشاء شركه للتنقيب اليورانيوم وبيعه لتصبح الاردن دوله مصدره لهذه الماده امر اخر كثر الحديث مءخرا انه يوجد الاردن بترول بكميات علي الاقل تكفي استهلكنا المحلي,0,93,549,4.0,0
196,197,الدول المتقدمه الان تتجه لستخدام الطاقه المتجدده لانها اقل كلفه وليس مخاطر علي البيءه والانسان ونحن الان نعاني ضاءقه ماليه كبيره وشحه مياه شديده وكلنا يعلم مدي حاجه المفاعل للمياه اذكركم فقط حدث اليابان وهي الدوله الاكثر تطور مجال التكنولوجيا وهي عباره جزر وكذلك اثر علينا المفاعل النووي الاسراءيلي وحالات السرطان المنتشره لاحظنا التشوهات الخلقيه الاكثر جنوب البلاد,0,58,365,5.0,0
1262,1263,للاسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصاديه الاردن يمتلك موارد ماليه وهذا يعني الحاجه لشريك اجنبي اعلنت هيءه الطاقه يملك غالبيه الاسهم تركيا علي سبيل المثال وذلك يعني ان الشريك سيمتلك الجزء الاكبر المفاعل ولن يكون ملك للاردن وبالتالي ستقوم الحكومه ايضا بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي يوفر الكهرباء بسعر قليل,0,55,346,5.0,0
1462,1463,بدنا اياه لانا منفهم المفاعل النووي طاقتنا صعب علينا بكره بذكركم سالوا الباص السريع الثقه معدومه القمح فاسد المصفاه مش المواصفات الخضار الفواكه مواد كيماويه شوارع مش مصانه حفر مطبات الخ الافضل استغلال الطاقه الشمسيه او الريح او الماء هروب التطور انما الابتعاد الفشل الاكيد عبر التجارب,0,47,284,5.0,0
1339,1340,هيك بيقولوا للاسف عجبت حدا انت جاهل تدعو الناس لقول اله الا الله محمد رسول الله انت غبي صاحبل البوست تفقه شيءا العلم الدين انت هيك تبين انك قمه الجهل العار قل كلاما جيدا محببا تتلفظ بالكلام السيء انما تعجبنا كلنا قلت انطقوا بالشهادتين اولي الالباب,0,46,247,4.0,0
1446,1447,مين بشار العاهه هاد الي بهدد اي الجد والله للنساء والبنات تتطلعن الرجال هالحاله ونلعن ابو الساعه اللي طلعت بشار وغيره شو هالحكي الاردن قوي بجيشه وقاءده فعلا هززلت قال سوريا قال النعامه او رقبه عاليه بدهها قص,0,38,207,4.0,0
1436,1437,منكو لله لاقيين حق الخبز لحتي ترفعو البنزين الواحد يحب يخلص دراسه عشان يضل بلاردن لانو اشي رواتب اشي جد بلد مش فقير كلو بوكل كلوالله بنلوم الحراميه هيك بلد,0,30,155,4.0,0
